Code ;WD;THK;LA.wp;SLA.wp;LP.mass;MAXHT;sprout
PICPEN;0.9807088;186.5;161.9744972;124.4783968;0.864324433;8;0
PIMRAC;0.958278813;354.1851852;22.26959603;55.18908896;0.963166202;8;0
PIPADU;0.548162288;NA;38.55133333;185.006;NA;7;NA
PIPAMA;NA;150.6111111;56.12189581;271.6523181;0.931751965;5;0.0731707317073171
PIPBLA;0.45785977;183.1759259;47.03291667;270.9554167;0.956269025;2;0
PIPGLA;0.351054502;191.9777778;131.3421053;296.9836842;0.960453211;5;0
PIPHIS;0.384120229;NA;116.004;342.15;NA;7;NA
PISALB;0.595706282;270.6666667;26.19749321;109.5637403;0.941487072;3;0
PISSUB;0.521259838;NA;145.34;138.42;NA;17;NA
PISTAI;0.747546874;223.5555556;45.28427095;143.6080989;0.932740896;21;0
PITUNG;0.937801719;191.7777778;10.42350886;101.114154;0.965653553;8;0.782485875706215
PLEMAC;0.628;NA;104.52;157.25;NA;20;NA
PLUALB;0.495394562;470.8;70.72504087;50.55852892;0.930756782;9;0
PLUOBT;0.532799342;238.7777778;49.96721869;227.0050419;0.958197984;3.5;0
PLUSYM;0.5822;NA;168.23;201.53;NA;10;NA
POIFLO;0.875470216;202.3888889;7.41175887;126.1967688;0.861573757;14;0.171875
POTUMB;0.300374991;NA;381.4126667;369.7773333;NA;2;NA
POUDIC;0.885627236;234.5185185;38.90802461;124.7328892;0.937867058;25;0
POUMUL;0.820799137;191.962963;171.3426458;105.6834608;0.949242141;14;0
PREMON;0.308658766;NA;55241.01067;174.4793333;NA;23;0
PRUMYR;0.915410877;161.1944444;22.23997487;143.0545095;0.965591975;8.5;0.125
PSESPU;0.690606911;148.962963;41.23085309;170.6363223;0.978492737;19;0.00802139037433155
PSIAMP;0.868829502;294.3703704;44.94817458;70.12547143;0.993263141;6;0
PSYBER;0.468008213;189.8395062;161.1968341;346.6437271;0.928332308;9;0
PSYBRA;0.418549807;262.9111111;75.7;325.123;0.948295672;5;0
PSYDEF;0.418963208;144.3333333;25.37266667;198.168;0.9647918;3;NA
PSYGRA;0.325769462;126.8222222;195.9793802;196.1266613;0.948251702;17;0
PSYMAL;0.38;NA;28.61866667;236.9306667;NA;NA;NA
PTEOFF;0.358250604;153.1111111;572.5206667;247.0326667;0.821177409;30;0
QUACYN;0.914228459;302.6666667;17.5153121;48.21396184;0.92927017;6;0
QUAIND;0.744333565;266.3888889;19.34684572;76.35501008;0.953560781;5;0.166666666666667
QUATUR;0.591129426;152.5555555;101.3003715;182.3588953;0.966591335;10;0.00446428571428571
RANACU;0.981954371;198.9920635;4.859957305;134.3271019;0.984094824;6.5;0
RAUNIT;0.465;NA;22.81;457.95;NA;7;0
REYKRU;1.016846855;211.5555556;40.81507101;108.5667656;0.963887955;5;0
REYUNC;1.022220268;305.2222222;1.786479783;52.36390189;0.981016096;NA;NA
REYVIV;1.014792494;393.8765432;12.82328236;45.83918662;0.97459846;8;0.8
ROCACA;0.927591145;202.7222222;1.385829067;102.0599372;0.971178479;4;0
RONINE;0.778105128;290.3;14.82239832;111.2521323;0.960530934;5;0.497175141242938
RONPOR;0.780191659;NA;36.14;185.9493333;NA;19;0.5
ROYBOR;0.739967091;NA;60383.37667;121.1626667;NA;17;0
SAMDOD;0.8004896;216.8148148;29.9330665;123.39608;0.97560518;6.5;0.236220472440945
SAMSPI;0.77927475;NA;64.33;231.4566667;NA;8;0
SAPLAU;0.469707152;271.8730159;74.19376109;277.3738731;0.925136947;24;0
SCHFRU;0.942216616;238.4343434;8.222583301;114.0863914;0.994408903;7;0.105769230769231
SCHMOR;0.401807862;261;2572.314077;221.0996571;0.747733333;28;0
SCHOBO;0.579912997;328.4444444;4.360751307;67.13341067;NA;5;0
SIDOBO;0.96354011;292.5666667;6.228935831;74.01574953;0.95647467;9;0.0869565217391304
SIDPOR;0.692060778;145;82.77375505;191.5590579;0.956051731;30;0.00961538461538462
SIDSAL;0.842611793;205.662037;21.79261586;101.5564497;0.951119496;25;0.0330578512396694
SIMAMA;0.415;NA;521.79;205.622;NA;NA;NA
SIMGLA;0.433780888;NA;321.6466667;178.516;NA;33;0
SIMTUL;0.556786059;353;97.97417806;96.29736925;0.824627333;13;0
SLOAMY;0.784991099;133.2222222;114.2998069;134.3430704;0.91925284;12;0
SLOBER;0.800125551;190.2751323;225.3026563;114.0951604;0.92277855;23;0.0111111111111111
SPACAM;0.335362879;195.5555556;610.5010117;236.6200677;0.758590643;5;0
STEACU;0.912692111;292.6349206;3.819244983;87.62080057;0.939329958;NA;NA
