PLANTS_Accepted_Name,SPCD,Symbol,Origin,Height_m,Height_max,Deciduous,Wood_Density,Myco_Group,Leaf_Thickness,Family,Nfixer,Seed_wt_avg_Kew_or_other_g_per_1000
Chrysophyllum argenteum,6539,CHAR6,N,7.5,8.2,E,0.784,AM,Subcoriaceous,Sapotaceae,no,236.5
Chrysophyllum cainito,6541,CHCA10,N,12,18.6,E,0.655,AM,Subcoriaceous,Sapotaceae,no,210
Chrysophyllum pauciflorum,6543,CHPA31,N,7.5,15.5,E,No data,AM,Subcoriaceous,Sapotaceae,no,
Cinnamomum camphora,858,CICA,I,7.5,20.4,E,0.487,No data,Subcoriaceous,Lauraceae,no,108
Cinnamomum elongatum,6559,CIEL2,N,30,30,E,0.56,AM,Subcoriaceous,Lauraceae,no,
Cinnamomum montanum,6560,CIMO3,N,19,19,E,No data,AM,Chartaceous,Lauraceae,no,
Citharexylum caudatum,6565,CICA8,N,9,9,E,No data,AM,Subcoriaceous,Verbenaceae,no,
Citharexylum spinosum,859,CISP3,N,12,12,E,0.684,AM,Coriaceous,Verbenaceae,no,73.0957
Citharexylum spinosum,6567,CISP3,N,12,12,E,0.684,AM,Coriaceous,Verbenaceae,no,73.0957
Citrus ×aurantiifolia,6573,CIAU7,I,6,6,E,0.52,No data,Coriaceous,Rutaceae,no,77.82
Citrus ×limon,6575,CILI5,I,6,6,E,0.52,AM,Coriaceous,Rutaceae,no,118.04
Citrus ×paradisi,6576,CIPA3,I,6,13.1,E,0.52,AM,Subcoriaceous,Rutaceae,no,
Citrus ×sinensis,6577,CISI3,I,9,17.4,E,0.78,AM,Subcoriaceous,Rutaceae,no,30.59
Clusia clusioides,6646,CLCL2,N,12,14.6,E,0.9,AM,Coriaceous,Clusiaceae,no,
Clusia rosea,6651,CLRO,N,18,21.3,E,0.618,AM,Coriaceous,Clusiaceae,no,11.3808
Coccoloba diversifolia,863,CODI8,N,9,16.2,E,0.763,EM,Coriaceous,Polygonaceae,no,
Coccoloba krugii,6660,COKR,N,6,6,E,No data,EM,Coriaceous,Polygonaceae,no,22.9532
