"","PLANTS_Accepted_Name","SPCD","Symbol","Origin","Height_m","Height_max","Deciduous","Wood_Density","Myco_Group","Leaf_Thickness","Family","Nfixer","Seed_wt_avg_Kew_or_other_g_per_1000"
"178","Micropholis garciniifolia",7828,"MIGA","N",15,16.8,"E","0.646","AM","Coriaceous","Sapotaceae","no",""
"179","Micropholis guyanensis",7829,"MIGU2","N",18,18.6,"E","0.663","AM","Coriaceous","Sapotaceae","no","1142.86"
"180","Myrcia citrifolia",7886,"MYCI","N",6,8.2,"E","No data","AM","Coriaceous","Myrtaceae","no",""
"181","Myrcia deflexa",7887,"MYDE","N",9,11.6,"E","0.8","AM","Coriaceous","Myrtaceae","no",""
"182","Myrcia leptoclada",7889,"MYLE","N",10.5,10.5,"E","0.804","AM","Subcoriaceous","Myrtaceae","no",""
"183","Myrcia splendens",7891,"MYSP","N",9,13.1,"E","0.702","AM","Subcoriaceous","Myrtaceae","no","173"
"184","Myrciaria floribunda",7895,"MYFL","N",16.5,16.8,"E","0.785","No data","Chartaceous","Myrtaceae","no",""
"185","Myrsine coriacea",7911,"MYCO2","N",9,9.4,"E","0.647","AM","Subcoriaceous","Myrsinaceae","no","9.34"
"186","Myrsine cubana",7912,"MYCU2","N",6,22.3,"E","No data","AM","Coriaceous","Myrsinaceae","no",""
"187","Nectandra coriacea",7932,"NECO","N",9,19.2,"E","0.47","AM","Coriaceous","Lauraceae","no",""
"188","Neolaugeria resinosa",7946,"NERE2","N",9,21.9,"E","0.703","AM","Subcoriaceous","Rubiaceae","no",""
"189","Ochroma pyramidale",7980,"OCPY","N",24,24,"E","0.158","No data","Subcoriaceous","Bombacaceae","no","10.2"
"190","Ocotea floribunda",7990,"OCFL","N",18,29.3,"E","0.395","AM","Subcoriaceous","Lauraceae","no","1643.32"
"191","Ocotea leucoxylon",7994,"OCLE","N",15,20.7,"E","0.44","AM","Coriaceous","Lauraceae","no","100"
"192","Ocotea moschata",7996,"OCMO","N",24,24,"E","0.6","AM","Coriaceous","Lauraceae","no",""
"193","Ocotea wrightii",8003,"OCWR","N",18,21,"E","No data","AM","Coriaceous","Lauraceae","no",""
"194","Ormosia krugii",8020,"ORKR","N",18,18.9,"E","0.512","AM","Coriaceous","Fabaceae","yes","720"
"195","Ouratea littoralis",8030,"OULI","N",6,7.3,"E","0.647","AM","Subcoriaceous","Ochnaceae","no",""
"196","Palicourea crocea",8047,"PACR3","N",4.5,4.5,"E","0.56","AM","Chartaceous","Rubiaceae","no","43.4896"
