CN,TRE_CN,THRESHOLD_TYPE,PLT_CN,STATECD,DIA,DIAHTCD,TREE_SIZE,TREECLCD,SUBPTYP,HT,ACTUALHT,VOLCFSND,VOLCFNET,VOLCSNET,VOLBFNET,REGIONAL_DRYBIOT,REGIONAL_DRYBIOM,REGIONAL_DRYBIOSL,DRYBIO_BG,DRYBIO_AG,DRYBIO_WDLD_SPP,DRYBIO_SAPLING,DRYBIO_STUMP,DRYBIO_BOLE,DRYBIO_SAWLOG,DRYBIO_TOP,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,VOLBSNET
619085755126144,249699402010854,SUBPLOT,249604200010854,72,5.0,1,SMALL,3,1.0,,,1.0840238071472554,1.0840238071472554,,,,,,13.364629603492183,66.1722849178328,,,5.503391378749089,40.60939113337021,,20.059502405713502,FSJASONMEADE,2019-03-06 12:02:08,126144,JTURNER02,2019-03-08 08:30:41,126144,
619085759126144,249698894010854,SAWLOG,249604203010854,72,11.0,1,LARGE,2,1.0,,,,12.832037668582846,,,,,,124.64021826321945,643.0765540226873,,,36.307038082495325,480.7192292075565,,126.05028673263553,FSJASONMEADE,2019-03-06 12:02:09,126144,JTURNER02,2019-03-08 08:30:41,126144,
619085760126144,249698015010854,MICROPLOT,249604203010854,72,1.0,1,SAPLING,3,2.0,,,,,,,3.4104227799649953,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:09,126144,FSJASONMEADE,2019-03-06 12:02:09,126144,
619085763126144,249698615010854,MICROPLOT,249604205010854,72,1.0,1,SAPLING,3,2.0,,,,,,,6.430788926232653,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:09,126144,FSJASONMEADE,2019-03-06 12:02:09,126144,
619085764126144,249698614010854,MICROPLOT,249604205010854,72,1.0,1,SAPLING,3,2.0,,,,,,,7.523638041301413,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:09,126144,FSJASONMEADE,2019-03-06 12:02:09,126144,
809331688290487,699056548126144,MICROPLOT,548974805126144,72,1.0,1,SAPLING,2,2.0,,,,,,,4.510626055176948,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJMCHAN,2020-12-09 08:30:47,290487,FSJMCHAN,2020-12-09 08:30:47,290487,
809331689290487,699056549126144,MICROPLOT,548974805126144,72,1.0,1,SAPLING,2,2.0,,,,,,,4.824847318469984,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJMCHAN,2020-12-09 08:30:47,290487,FSJMCHAN,2020-12-09 08:30:47,290487,
809331690290487,699056550126144,MICROPLOT,548974805126144,72,1.0,1,SAPLING,2,2.0,,,,,,,4.510626055176948,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJMCHAN,2020-12-09 08:30:47,290487,FSJMCHAN,2020-12-09 08:30:47,290487,
809331693290487,699056607126144,SUBPLOT,548974817126144,72,5.0,1,SMALL,3,1.0,,,0.9282752670163275,0.8818615036655111,,,,,,11.444448942873414,56.66489522294922,,,4.7126844151585106,34.77478368016961,,17.177427127621097,FSJMCHAN,2020-12-09 08:30:47,290487,JTURNER02,2020-12-09 09:01:35,290487,
809331694290487,699056616126144,SUBPLOT,548974817126144,72,5.0,1,SMALL,3,1.0,,,1.160841665539297,1.160841665539297,,,,,,14.31169572655537,70.86149301343083,,,5.893381650938103,43.4871198667268,,21.480991495765927,FSJMCHAN,2020-12-09 08:30:47,290487,JTURNER02,2020-12-09 09:01:35,290487,
809331695290487,699056622126144,MICROPLOT,548974817126144,72,1.0,1,SAPLING,2,2.0,,,,,,,5.864835311366765,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJMCHAN,2020-12-09 08:30:47,290487,FSJMCHAN,2020-12-09 08:30:47,290487,
809331696290487,699056623126144,MICROPLOT,548974817126144,72,1.0,1,SAPLING,2,2.0,,,,,,,5.864835311366765,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJMCHAN,2020-12-09 08:30:47,290487,FSJMCHAN,2020-12-09 08:30:47,290487,
809331697290487,699056624126144,MICROPLOT,548974817126144,72,1.0,1,SAPLING,2,2.0,,,,,,,6.149626470779851,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJMCHAN,2020-12-09 08:30:47,290487,FSJMCHAN,2020-12-09 08:30:47,290487,
809331699290487,699056671126144,SUBPLOT,548974818126144,72,5.0,1,SMALL,3,1.0,,,1.0840238071472554,1.0298226167898927,,,,,,13.364629603492183,66.1722849178328,,,5.503391378749089,40.60939113337021,,20.059502405713502,FSJMCHAN,2020-12-09 08:30:47,290487,JTURNER02,2020-12-09 09:01:35,290487,
809331700290487,699056672126144,SUBPLOT,548974818126144,72,5.0,1,SMALL,3,1.0,,,1.3502496542614264,1.282737171548355,,,,,,16.646854416358774,82.42356324915566,,,6.8549715028646405,50.582667996840016,,24.985923749451004,FSJMCHAN,2020-12-09 08:30:47,290487,JTURNER02,2020-12-09 09:01:35,290487,
809331701290487,699056673126144,SUBPLOT,548974818126144,72,5.0,1,SMALL,3,1.0,,,0.8093197243544028,0.7688537381366827,,,,,,9.97787896860063,49.4034679280125,,,4.108768796678809,30.318505019507143,,14.976194111826555,FSJMCHAN,2020-12-09 08:30:47,290487,JTURNER02,2020-12-09 09:01:35,290487,
809331628290487,699055422126144,SUBPLOT,548974684126144,72,5.0,1,SMALL,3,1.0,,,1.490538232558412,1.490538232558412,,,,,,18.37643348480541,90.98722736112363,,,7.567191056758368,55.838118762814595,,27.581917541550663,FSJMCHAN,2020-12-09 08:30:45,290487,JTURNER02,2020-12-09 09:01:35,290487,
