"sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change"
"DRYILI",11878.971963339,2259.71862377413,3627.93979038158,3060.09967009118,3482.75898269471,1223.04035892058,12126,2561,4036,3320,3754,1193
"ELAXYL",19528.3001832757,2972.33607729882,5700.23067866664,6947.07998253903,7303.25564474167,4330.91956744285,15692,2168,3774,3601,4031,1863
"ERIFRU",14900.846348688,2240.96965451492,4150.720519586,4655.50258074701,4996.03983006068,2755.07017554576,14489,2090,3413,2764,3211,1121
"ERYARE",5399.46239849506,707.094227530315,1341.14493458984,1222.47853719347,1470.24067302761,763.146445497291,5287,703,1186,756,1013,310
"ERYBER",19525.1339699463,2427.66844149446,5294.76643480361,8199.03854114423,8075.09146091621,5647.42301942175,30111,3737,8164,12654,12461,8724
"ERYBRE",22197.8351173755,2918.71222454123,6037.28089236282,7558.75750537775,7863.24987195246,4944.53764741123,17380,1959,3843,3065,3587,1628
"ERYPOE",25132.1565770879,4045.49753548577,7964.78356229141,10647.3948905692,10771.8604135327,6726.36287804693,29668,3410,7760,12241,12037,8627
"ERYROT",18934.1460522701,2490.64837773156,5078.32477151637,6231.32281535387,6627.92905114067,4137.28067340911,15001,1596,2957,3172,3646,2050
"ERYRUF",24226.2774057202,4017.86392058991,7798.66059229709,10247.4965541922,10399.4904805999,6381.62656001002,18030,3664,5726,4816,5466,1802
"ERYURB",19140.4553636536,3371.10968501493,6191.23943867907,7529.16342730075,7766.25378558412,4395.14410056919,18030,3664,5726,4816,5466,1802
"EUGAXI",21945.3727857592,3162.20742660854,6282.07047185581,8000.21958990302,8322.18043238949,5159.97300578095,13563,1890,3248,2831,3308,1418
"EUGBIF",22513.7963992069,2929.21029697824,6378.50800165255,7985.37994026858,8184.57466392685,5255.3643669486,19629,2118,5000,5362,5627,3509
"EUGBOR",2917.48693208666,687.75278525007,1337.76956125446,1685.5536127028,1541.1844454902,853.43166024013,5906,1219,2788,3382,2939,1720
"EUGCON",7185.96276060678,1588.77600566018,2924.69416287076,3790.15890367515,3842.01919870172,2253.24319304153,559,335,414,433,441,106
"EUGCOR",16433.4894311298,2035.56286343886,5121.9573332509,8999.25419765944,8716.20638181642,6680.64351837756,13645,1381,3834,8097,8087,6706
"EUGDOM",26396.2785375267,4137.31614718586,8428.9899507314,11518.3857620433,11459.0196023956,7321.70345520973,23019,3410,7709,9010,8853,5443
"EUGEGG",19078.9241445633,2478.05716755707,5587.67816886585,9096.66692360211,8790.60595236626,6312.54878480919,9396,1987,3986,6506,5963,3976
"EUGFOE",10548.1593574949,1960.44018768775,3129.68695444684,2585.11040585022,2975.93529619533,1015.49510850757,17515,3337,5321,4388,5033,1696
"EUGLIG",13518.4724997489,1879.64358994166,3706.69393863463,3907.2709274628,4269.25383474475,2389.61024480309,14019,2020,3523,2733,3269,1249
"EUGMON",27182.9223017991,4314.77088183165,8617.704544276,11733.377872467,11848.1233508289,7533.35246899724,35099,5177,10568,14671,14991,9814
"EUGPAD",8080.99154931307,1967.62962127477,3477.38317387551,4219.19576764107,4303.29712573439,2335.66750445962,8218,2860,4428,3820,4248,1388
"EUGPSE",17006.5047854949,2688.73870491999,5338.53769052293,5884.64219936315,6068.36896636826,3379.63026144827,19201,2936,6117,6214,6351,3415
"EUGRHO",14751.4324275227,2303.14868284669,4533.57864745706,5661.75993682817,5976.45021240134,3673.30152955465,9712,1064,2482,2274,2839,1775
"EUGSTA",10363.8760285256,2159.47416193876,4204.52149129193,6547.40479954612,6181.74543991452,4022.27127797576,8154,1991,3535,5804,5238,3247
"EUGSTE",16698.9630999649,2182.44682905264,5359.17994361185,9377.89166636392,9021.95408935379,6839.50726030115,19603,2407,6171,11372,11050,8643
"EUGWOO",5425.48867427378,953.245838213315,1889.04090480278,2400.59703252253,2531.81860981091,1578.5727715976,2773,561,896,681,834,273
"EUPPET",13966.9728645832,1733.76197797063,3626.05020435751,4633.48397943031,4969.3735230818,3235.61154511117,3473,471,720,405,573,102
