"sp","sum","sum.1","sum.2","sum.3","sum.4","sum.5","sum.6","sum.7","sum.8","sum.9","sum.10","sum.11","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"SENPOL",4336.88695186241,662.428411803204,1059.40824122278,835.54859209229,1011.4423060012,349.013894197997,5651,880,1437,1067,1313,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SENSIA",27756.8648229428,4147.2163767796,8683.12552441284,12045.4832370803,12036.9131192807,7889.69674250111,43165,6450,13514,18748,18731,12281,2.60614406131626,1.56745083580845,2.71201686686302,3.74903894750256,0.142452754730523,0.141171166241107,0.197910724110016,0.376551394023024,2.17790106725393,0.86439658129551,2.00803562226193,2.20519264970866,1.21111509593068,1.75763563628234,0.738773513631041,2.4010060257872,5,3,5,5
"SIDCUB",15773.5340209696,2798.2969452627,5281.44569758698,6623.2084904369,6760.45720910281,3962.16026384011,8372,2895,4419,3844,4243,1348,1.06388730628038,0.499027113297713,0.47160177309193,0.476378042964277,NA,NA,NA,NA,0.354629102093461,0.499027113297713,0.47160177309193,0.476378042964277,2.98426060541602,1.22901347941079,1.93391446697146,25.0258841024975,1,2,2,2
"SIDFOE",19741.6243138742,3224.96358379163,5952.50240767933,6740.06051745638,7095.18272143789,3870.21913764626,18942,3416,5543,4703,5375,1959,0.913467090016881,0.056468466496443,0.0565459211742903,1.01928609332059,0.0569811018922092,NA,NA,0.0310021386630984,0.0569811018922092,0.056468466496443,0.0565459211742903,0.190538562044434,0.354629102093461,0.409671157981994,27.0296255893349,8.10519310975479,3,2,2,5
"SIDOBO",9370.44176426576,1648.31072411546,2669.11483381037,2301.08230479481,2631.68470138498,983.373977269512,5590,854,1411,984,1242,388,0.0284905509461046,0.0282342332482215,NA,2.0718688281904,NA,NA,NA,NA,0.0284905509461046,0.0282342332482215,NA,NA,137.409159683729,0.703054259202135,NA,NA,1,1,NA,1
"SIDPOR",26812.2057789117,4415.1391999796,8779.38182211667,11857.4310736582,11850.3376965821,7435.19849660248,16288,3392,5643,5895,6121,2729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SIDSAL",23796.5802997816,3759.1085075438,7433.76677780598,9069.66350661777,9324.26600562781,5565.15749808401,15141,3122,5044,4161,4696,1574,0.142452754730523,1.60374814176342,1.42907457278317,1.56543825603154,0.0284905509461046,NA,0.0282729605871451,0.0620042773261967,0.142452754730523,0.900693887250486,1.07708395048263,1.56543825603154,1.71297198767444,15.7579138294906,0.738773513631041,1.24312130244178,2,6,9,8
"SIMTUL",18237.9714778997,2997.1787734665,6204.81508530304,9413.21690657549,9237.07496073842,6239.89618727192,14262,2214,4213,8518,8300,6086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SIPDEN",14605.5404912634,2101.21223229915,4973.71279483661,8466.23784495797,8050.9011091413,5949.68887684215,8727,1769,3393,5582,5107,3338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLOAMY",17430.5894915713,3493.81400481705,6844.33821394295,9177.64919447247,9180.64776110929,5686.83375629224,8490,2930,4485,3901,4325,1395,NA,0.0282342332482215,0.0282729605871451,0.0310021386630984,NA,NA,NA,NA,NA,0.0282342332482215,0.0282729605871451,0.0310021386630984,NA,44.524994391677,6.33583123897289,85.8561642582521,NA,1,1,1
"SLOBER",7365.2784132379,1221.65675555882,2958.91957702157,4246.76423777964,3877.49016099807,2655.83340543925,11575,1863,4737,6496,5928,4065,2.3556990201296,3.00985665078929,1.63414617389935,1.05094239686483,0.142452754730523,0.141171166241107,0.0565459211742903,NA,0.582553509662298,0.900693887250486,0.930164929298254,1.05094239686483,0.354629102093461,33.7732326852598,1.05597187159702,7.40190343227148,7,6,5,4
"SOLENS",19021.5562695824,3371.18400803022,7090.7668734137,9962.57518475316,9924.83222792111,6553.64821989089,28481,5096,10725,15071,15011,9915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
