"","X","SCIENTIFIC_NAME","CODE","tpa_2004","tpa_2008","tpa_2009","tpa_2013","tpa_2014","tpa_2019","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","AI_51","AI_77","AI_91","AI_00","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass","PC1","PC2"
"55",80,"Erythroxylum rufum","ERYRUF",0.414046069708828,NA,0.394116273542628,NA,0.712170818936353,1.1893674331218,1156,1727,1457,1692,536,96.7662855981956,95.3256928368927,95.8805607597857,95.3210410669325,1.50416359641456,-0.538490853011744,-0.101727613447161,0.352790682374181,-1.45222406719298,0.756027411660081,0.886900486459644,-1.84232111243172
"56",81,"Eugenia biflora","EUGBIF",8.31081099693297,NA,8.88967512975916,NA,9.90642069030774,11.7475286084209,3606,8426,9539,9872,6266,92.1579362440559,87.3275450880142,86.2459110949574,85.6720078107481,0.681821425776528,0.0116631148298126,-0.108647001515071,-0.548547097450041,0.327649921327672,-0.173858289075701,0.546393359376768,0.0559957883955568
"57",82,"Eugenia borinquensis","EUGBOR",1.79700110038005,NA,1.37988190174918,NA,1.04520196308206,1.47708877074157,1366,2827,3546,3170,1804,97.5931782425863,95.9633503438424,95.103918070966,95.1906567977147,-1.23347376038679,2.71863525722817,-0.088647282283914,-1.15899526335736,-0.0801137818786226,-0.303456875829009,1.28850879457639,1.83892655062182
"58",84,"Eugenia domingensis","EUGDOM",NA,NA,NA,NA,NA,1.10781657805618,3463,7306,7923,7712,4249,93.5283245953714,89.84168657867,89.1731183972298,89.0578519238608,-0.679829273172442,-0.0200849431563093,-0.101396015208593,-0.619668411779636,0.564966453130425,-0.182817022802064,-0.172429826487726,0.628324304325962
"59",85,"Eugenia ligustrina","EUGLIG",NA,NA,2.9004106472854,NA,1.79719675975648,3.09009563325918,1940,3379,2872,3467,1527,95.6673872598593,93.4457285439133,94.0103714253125,92.9427198605493,1.88299262280974,0.116579247347315,-0.109231219476461,-0.783956965987571,-1.45222406719298,0.180487860153851,1.91617210299561,-1.29163472284026
"60",86,"Eugenia monticola","EUGMON",12.4684208613633,NA,23.3921089548511,NA,23.5925846721111,20.2899086281652,4300,9811,10679,11178,6878,91.2735417816767,86.3983433052296,85.7530963465203,84.9202103662699,0.980780112839683,-0.479859368259043,-0.109554255417641,-0.46223224355285,0.446308187229049,-0.123106272646386,0.398837544061803,-0.233124185885584
"61",87,"Eugenia pseudopsidium","EUGPSE",0.0550920893354143,NA,3.82929003815771,NA,1.76365733492528,1.90072820013738,2925,6105,6138,6286,3361,93.9739732057585,90.3233919273881,90.2011256883593,89.8405085620752,1.2825607557381,-0.334162711218189,-0.104476068901637,-0.479353274502585,-0.740274471784717,0.0331078623147722,0.98655247865692,-0.925000601327549
"62",88,"Eugenia rhombea","EUGRHO",5.24640767912475,NA,4.10832557346845,NA,7.3776925091827,6.85886467098648,1802,4564,6465,6991,5189,95.3183401551348,92.1289367739173,91.4632325491255,90.2371859726073,1.43985735483365,0.44586289994858,-0.108415755148167,-1.04473261005665,-1.09624926948885,0.117959185393642,1.89627492143264,-0.752489352927216
"63",89,"Eugenia stahlii","EUGSTA",0.101281473467492,NA,0.13775168299905,NA,0.0272548719243315,0.0296615737937593,1976,3500,5775,5184,3208,96.4619824008201,95.554167177499,94.4558188121311,93.9629539387945,0.249146147739234,1.33218564156635,-0.0998282556472332,-0.749657203192261,0.920941250834555,-0.318982024250715,0.868048918543918,1.18043028821128
"64",90,"Exostema caribaeum","EXOCAR",10.6565964362046,14.4164003846154,6.987343892704,17.5610360296756,8.77217814398146,11.5858340204618,913,1877,1354,1823,910,97.9360117986045,96.2956215437909,97.0847386547658,96.2639510970055,1.40797692266209,-0.185034761582461,-0.108865899393488,-0.742073060310249,-0.502957939981964,0.139490563387363,1.25046724994733,-0.776148791921195
"65",91,"Exothea paniculata","EXOPAN",NA,NA,2.02907954945006,NA,2.03589418231545,2.21563315611236,2491,4613,4062,4378,1887,95.2276013656862,93.3154150443979,93.6798513521238,93.4168048911551,0.297352218370601,-1.15708620363352,-0.0981160953284561,0.291946153380628,-0.146983142277834,-0.00134863612724822,-0.533910999837159,-0.7731872404072
"66",92,"Faramea occidentalis","FAROCC",2.05723555965231,NA,1.40801444007499,NA,3.79749633743566,4.80053850491011,3376,7334,8130,8090,4714,93.1386142314876,89.2604165045218,88.2743171541978,88.1270118098945,0.302080400033772,-0.670000310665885,-0.0989555303352293,0.783041647010663,-0.740274471784717,-0.148731558868574,-0.498238496947987,-0.887720285400408
"67",93,"Ficus americana","FICAME",0.0275460446677071,NA,0.0271622021158041,NA,0.0272548719243315,0.0296615737937593,3164,6874,9477,8862,5698,93.7457111436941,90.6590410048795,88.8703022063488,88.4255009827176,-1.12031151071801,-0.338385187841109,-0.0989837349470513,-0.200305024926979,0.208991655426295,0.0039470038216346,-0.652746009943823,0.315979153865029
