"sp","total_hab_raw","fcover_51_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_00","tot_change"
"PRUMYR",13086.603633441,3108.2859203266,6943.7740297094,3835.4881093828,5912,2221,3303,1082
"PSESPU",13979.1847027587,2920.79341286048,5750.19087571185,2829.39746285137,4320,1582,2273,691
"PSIAMP",4562.79007118365,1429.72684363501,2618.29342102254,1188.56657738753,7522,2248,4044,1796
"PSIGUA",26802.9277269263,3586.804054901,11923.5424191486,8336.73836424761,26699,3099,11851,8752
"PSYBER",15073.5831451006,2521.87884748355,7922.67040996626,5400.79156248271,11560,2166,7136,4970
"PSYBRA",20387.6136733368,2835.44732095674,10052.1865825905,7216.73926163372,16131,2128,9176,7048
"PSYDOM",21044.4078794701,3220.08750595269,8402.39453776344,5182.30703181075,18913,2891,6185,3294
"PSYGRA",18268.5379708316,3060.49667249992,9728.04598556645,6667.54931306653,21519,2902,11772,8870
"PSYMAL",7887.47424993675,1101.51561228089,2793.86742719744,1692.35181491654,3024,838,1675,837
"PSYMAR",15611.7187726265,1801.71135400468,5393.340520686,3591.62916668132,12269,1221,2035,814
"PSYPUB",25132.9286993742,4226.21175813675,11290.3810787946,7064.16932065785,21887,4415,8986,4571
"PTEIND",25573.636029277,4054.81385784969,10937.6373036243,6882.82344577461,40496,6358,17079,10721
"QUACYN",9963.44542437705,1121.86864737648,3536.53181255312,2414.66316517664,10335,1027,3114,2087
"QUAIND",8889.62428884101,1090.52300032258,2722.39045148663,1631.86745116405,7408,904,1593,689
"QUATUR",21134.6478782278,3115.07059834525,7984.95609323494,4869.88549488969,24461,3521,8300,4779
"RANACU",25555.7510305885,3495.1543383915,9757.24728065915,6262.09294226766,22675,3112,6046,2934
"RAUNIT",23861.7353211905,3080.5019153775,9394.04916043439,6313.54724505689,24213,2424,7754,5330
"RAVURB",4669.88355695762,790.321593306894,1907.86475289085,1117.54315958395,1939,645,1188,543
"REYKRU",16925.4114944972,3221.94836873561,8946.79841208458,5724.85004334897,12878,3478,6605,3127
"REYUNC",4095.05209991664,576.090260471152,868.170918260186,292.080657789034,5642,748,1087,339
"REYVIV",3783.25247744203,1161.55267529731,1764.92296916433,603.370293867018,1247,355,384,29
"RHIMAN",18330.3712242082,1785.65828467492,5642.58288673119,3856.92460205627,11745,798,2325,1527
"ROCACA",12092.6822633222,1538.43235050142,4337.94223446399,2799.50988396257,8289,934,1833,899
"RONINE",22037.5582844503,3499.12533093616,8851.45040856674,5352.32507763058,19485,3745,6861,3116
"ROYBOR",24641.9754260415,3346.69308634102,11034.4834200772,7687.79033373622,25036,3056,11815,8759
"SAMDOD",26116.3520881236,3769.23157793283,10543.5140020698,6774.282424137,21951,3375,7117,3742
