"sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"CHRARG",21603.8844464177,3821.22939759842,7394.75225840975,9880.03907589708,9803.921930518,5982.69253291958,19727,3792,7071,8273,8096,4304,NA,1.11272541249493,1.05597186690164,0.771923148896948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2
"CHRICA",23690.9546529949,2858.61758477241,6172.02031223476,8692.77206395566,8857.34145844728,5998.72387367487,21480,1676,4015,6021,6275,4599,0.383119653039566,3.86679839982115,4.5758780899071,3.08769259558779,NA,NA,NA,NA,0.383119653039566,1.0545813817694,2.11194373380328,1.5438462977939,111.073139582105,0.351527127256468,13.0195851363058,1.24312129691424,1,1,1,1
"CHROLI",16762.4329680069,2312.50308821507,4414.52940516237,5421.86579673114,5804.60333603471,3492.10024781965,11822,1316,2183,2980,3258,1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRPAU",24537.8003286379,3495.95360851986,7217.55071203737,10151.8675657804,10231.6524980026,6735.69888948277,24543,2634,5980,9831,9789,7155,0.354629102093461,NA,0.0282729605871451,0.0310021386630984,NA,NA,NA,NA,0.354629102093461,NA,0.0282729605871451,0.0310021386630984,0.7092582089175,NA,44.0336202960627,1.92980787739091,1,NA,1,1
"CINELO",26503.989293078,3799.86537064984,7983.99669078924,11642.4508294314,11555.909070557,7756.04369990714,33838,3941,9062,14695,14313,10372,4.46356633650083,3.48977992733152,3.75384532746545,3.10494047367285,0.176831149217785,0.395279265475101,0.254456645284306,0.812844200339323,2.4695791501269,2.43519854556212,1.64190159366218,2.3330173247759,11.1541703568377,0.351527127256468,12.9152083479975,4.63153891912438,10,29,31,33
"CINMON",18709.3814582527,3593.59346590936,7158.11280268431,9904.55086866021,9911.38150599599,6317.78804008663,27958,5459,10870,15037,15041,9582,0.440100754931775,0.0940092108867744,0.473413792022098,0.581025866558751,NA,0.0328874888192764,NA,NA,0.0854716528383138,0.0940092108867744,0.473413792022098,0.581025866558751,0.709258204186922,1.75763564566074,1.54713157048147,0.385961574448474,4,2,4,5
"CITCAU",7158.9213075015,1475.4931269316,2949.89315811195,4422.5868798783,4120.29608388717,2644.80295695557,7088,1806,3344,4666,4216,2410,NA,0.703054254512936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"CITSPI",27738.6517069936,4275.48508891463,8780.60599473119,11792.5231543481,11852.1246936023,7576.63960468769,28778,4110,9275,11347,11460,7350,NA,NA,0.0931502091344064,0.13306001478408,NA,NA,NA,NA,NA,NA,0.0931502091344064,0.13306001478408,NA,NA,12.6716624732504,NA,NA,NA,1,1
"CLIEGG",15094.5287778638,2520.30594453029,5477.96626920579,8474.06816123798,8263.06188959396,5742.75594506366,10493,1943,4348,7143,6644,4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLIERO",4333.39193117846,1073.44411865642,1896.9534016758,2945.31560410347,2754.74962670149,1681.30550804507,1529,904,1121,1328,1268,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
