;SCIENTIFIC_NAME;TPA;CODE;fcover_51;fcover_00;tot_change
216;Thespesia grandiflora;0.818525832;THEGRA;1780;6422;4642
217;Thespesia populnea;0.051271737;THEPOP;1614;5124;3510
218;Thouinia striata;10.0644939;THOSTR;2499;3782;1283
219;Trema micrantha;0.398933766;TREMIC;3301;11874;8573
220;Trichilia pallida;3.013500689;TRIPAL;3637;11371;7734
221;Turpinia occidentalis;0.33926741;TUROCC;2827;9451;6624
222;Urera baccifera;3.486551444;UREBAC;3802;10894;7092
223;Vitex divaricata;0.458256914;VITDIV;2793;11207;8414
224;Zanthoxylum martinicense;4.330578819;ZANMAR;3305;10709;7404
225;Zanthoxylum monophyllum;3.195342267;ZANMON;909;5636;4727
