"sp","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"COMGLA",4476,1830,2852,2452,2745,915,0.354629102093461,0.351527127256468,1.05597186690164,1.5438462977939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3
"CONERE",16080,1852,3367,4198,4677,2825,0.794729857025236,0.787756954257601,0.436809504061982,0.478967990437769,NA,NA,NA,NA,0.0854716528383138,0.0847026997446644,0.0848188817614354,0.478967990437769,11.7027604447735,1.40610851371507,0.703981244601093,11.9648088696851,1,1,1,1
"CORALL",20807,2331,6094,11137,10813,8482,2.53141735501346,4.72480747263899,3.96169403770595,2.65730170433875,0.0854716528383138,0.404585776617211,0.344829745294389,0.562564226001614,1.3939161567642,1.50291929660525,2.55373154850377,1.8853785554418,11.3481313142965,2.1091627776064,2.95509405968366,3.0876926110334,11,20,26,24
"CORBOR",14950,2375,5740,8688,7941,5566,3.41958632640999,1.81410410277878,1.11251778807593,1.21988900067162,0.142452754730523,NA,NA,NA,1.29181171384922,0.759522721009379,0.0565459211742903,0.0620042773261967,6.02869477343346,4.21832554583441,0.351990622300547,10.0350010025913,8,6,4,4
"CORCOL",14162,955,3040,5148,5557,4602,NA,0.351527127256468,0.351990622300547,0.385961574448474,NA,NA,NA,NA,NA,NA,0.351990622300547,NA,NA,0.409671157981994,NA,NA,NA,1,1,1
"CORHIR",6955,824,1385,992,1290,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORLAE",32024,4385,9105,11495,12138,7753,2.30349294744462,NA,NA,0.155010693315492,NA,NA,NA,0.124008554652394,0.737748755133027,NA,NA,0.155010693315492,8.52453885253313,NA,NA,31.2628877156737,3,NA,NA,3
"COROBO",37211,5928,11762,15599,15822,9894,NA,NA,NA,0.0310021386630984,NA,NA,NA,0.0310021386630984,NA,NA,NA,0.0310021386630984,NA,NA,NA,NA,NA,NA,NA,1
"CORRIC",21049,2531,4966,6049,6686,4155,0.709258204186922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"CORSUL",14668,1966,4642,9048,8331,6365,2.849816529091,6.5624338644174,6.76174310384543,6.54208552765846,0.284905509461046,0.141171166241107,0.169637763522871,0.188275697011512,2.14055832490408,4.0435999428966,5.63618669888389,4.16949169858841,2.56945798151167,0.703054259202135,1.40796248920219,113.766061633886,23,33,33,27
"CRECUJ",21394,3303,5678,6088,6744,3441,0.0343783944872623,0.0328874888192764,NA,0.03326500369602,NA,NA,NA,NA,0.0343783944872623,0.0328874888192764,NA,0.03326500369602,2.1277746267525,63.5669342447038,NA,3.28657795049766,1,1,NA,1
"CRELIN",7531,846,1548,1474,1747,901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CREPOR",10487,1145,1723,1450,1673,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRIPOR",27958,5461,10879,15033,15050,9589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
