"","sp","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019","species","seedmass","ss.guanica","ss.swenson","ss","WD","THK","LA.wp","SLA.wp","MAXHT","ss.log","thk.log","la.log","sla.log","wd.z","ss.log.z","thk.log.z","la.log.z","sla.log.z","maxht.z","ss.log.z_pi","wd.z_pi","thk.log.z_pi","la.log.z_pi","sla.log.z_pi","maxht.z_pi","pca1","pca2","pca1_pi","pca2_pi"
"Calyptranthes_krugii","CALKRU",3574,1416,2129,2625,2425,1009,NA,NA,NA,NA,NA,NA,NA,NA,"Calyptranthes_krugii",NA,NA,NA,NA,0.7178933,352.8333333,6.710427652,57.01176511,7,NA,2.54756960759474,0.826750198408263,1.75596448716561,0.113853770403025,NA,1.04379846093315,-1.27975842965732,-1.55719244677316,-0.747239035313388,-1.02202811230543,0.113853770403025,1.04379846093315,-1.27975842965732,-1.55719244677316,-0.747239035313388,NA,NA,-2.37028180559167,-0.529753125128621
"Calyptranthes_pallens","CALPAL",10064,1139,1949,1512,1768,629,NA,0.351527127256468,0.703981244601093,0.771923148896948,NA,1,2,2,"Calyptranthes_pallens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.713354875561416,0.181464566040921,0.580724632151816,-1.04592552829972,-0.855655738487861,-0.755814972655886,NA,NA,-1.51776904932317,-0.612049486704895
"NA.4","CANWIN",10938,1125,2873,2854,3472,2347,1.92037329440506,1.4642525397514,1.05597186690164,1.5722584889835,3,2,1,2,"Canella_winteriana",NA,NA,NA,NA,0.928565167,308.4222222,23.04160417,98.31495525,7,NA,2.48914566195721,1.36251271164036,1.99261958587416,1.23568368769785,NA,0.663387811765401,-0.462847689681364,-0.477356084831668,-0.747239035313388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capparidastrum_frondosum","CAPFRO",3649,344,573,393,557,213,NA,NA,NA,NA,NA,NA,NA,NA,"Capparidastrum_frondosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0767827045510493,0.527598083598804,1.21259415228919,-0.308818624170579,-1.87456545317359,-0.900754945964199,NA,NA,-2.32670102044313,-0.511681349126429
"Casearia_aculeata","CASACU",24652,3223,6184,7054,7756,4533,NA,1.40610850902587,1.40796248920219,1.15788472334542,NA,2,2,2,"Casearia_aculeata",23,NA,NA,23,NA,NA,NA,NA,NA,1.36172783601759,NA,NA,NA,NA,-0.387324744926735,NA,NA,NA,NA,-0.387324744926735,1.15245050565194,-2.49978458969179,-0.105247871776388,1.95942589896741,0.724537345289459,NA,NA,2.82997688592096,-1.51661400925625
"Casearia_arborea","CASARB",13862,2352,5031,8476,7714,5362,8.72786296395317,9.76452431702586,7.61269587013583,6.25627768459181,15,17,18,18,"Casearia_arborea",1.65,NA,0.625,0.625,0.664983974,181.6919192,19.02270949,177.3661477,28,-0.204119982655925,2.25933561236643,1.27927237552197,2.24887073347763,-0.16788894947663,-1.8385674336637,-0.832953956941626,-0.589769456126161,0.691895321461673,1.80715932670589,-1.8385674336637,-0.16788894947663,-0.832953956941626,-0.589769456126161,0.691895321461673,1.80715932670589,-0.495639209972988,0.67621038553977,0.869878054650753,-0.0238660218328204
"Casearia_decandra","CASDEC",22063,3134,7230,7792,7793,4659,3.19166191884115,2.84045125129997,2.49872662513377,2.43200815892276,5,9,7,7,"Casearia_decandra",88.1,NA,NA,88.1,0.77967418,122.9,14.42690396,258.3533886,10,1.94497590841205,2.08955188288645,1.15917314070171,2.41221416218758,0.442837609051028,0.153235129850512,-1.9384516778643,-0.77289229948393,1.43721699324377,-0.382324983596349,0.153235129850512,0.442837609051028,-1.9384516778643,-0.77289229948393,1.43721699324377,-0.382324983596349,-0.524161209007045,2.1754051673647,1.92967528499506,-1.36023627161476
"Castilla_elastica","CASELA",42075,6489,13138,18163,18260,11771,NA,0.056468466496443,0.0848188817614354,0.0620042773261967,NA,1,1,1,"Castilla_elastica",568.18,NA,NA,568.18,0.291154684,191,416.1735704,264.0514617,2,2.75448594244128,2.28103336724773,2.61927449636119,2.42168857593922,-2.15853386782771,0.903496748083217,-0.691675292349409,1.45341590505254,1.48044790833041,-1.35542912150845,0.903496748083217,-2.15853386782771,-0.691675292349409,1.45341590505254,1.48044790833041,-1.35542912150845,-2.44787169766826,0.878781879604984,1.70862777507407,1.97448863060113
"Casuarina_equisetifolia","CASEQU",10371,1137,1713,1430,1656,519,NA,0.169405399489329,NA,NA,NA,1,NA,NA,"Casuarina_equisetifolia",4,NA,NA,4,NA,NA,NA,NA,NA,0.602059991327962,NA,NA,NA,NA,-1.09139214683322,NA,NA,NA,NA,-1.09139214683322,-1.12158484211866,1.69273736693744,-0.0309371179941381,-1.55964741208596,-0.557098570213001,NA,NA,-2.43550839326776,1.29009136491785
"Casearia_guianensis","CASGUI",23460,3227,7618,8493,8577,5350,55.2340643960767,53.7377630153424,44.2600593909212,44.2154938226063,40,40,35,40,"Casearia_guianensis",NA,NA,6,6,0.807814077,148.0222222,44.17648438,191.0552082,15,0.778151250383644,2.17032691981632,1.64519115121134,2.28115888113299,0.592682857843526,-0.928189088906726,-1.41250835274763,-0.0318301258505334,0.83922329406089,0.225865102598716,-0.928189088906726,0.592682857843526,-1.41250835274763,-0.0318301258505334,0.83922329406089,0.225865102598716,-0.339981745056878,1.41572983460542,1.22575425588639,-0.735132514365027
